Session:,,Contributed,Title:,Modeling Instruction in an Algebra-Based Lecture Environment,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,OSH 202,Date:,"Tuesday, Aug. 9",<b> Time: </b>,8:45AM,<b> Author: </b>,"Patricia Allen, Appalachian State Univ.",<b> Co-Author(s): </b>,None,"During the past few years, Modeling Instruction materials and activities have been adapted for an algebra-based introductory course in a ""lecture"" environment (non-moveable chairs and tables). Typical enrollment for this class is approx. 90 students. The presentation will highlight some of the pros and cons associated with this process, some of the hands-on activities that were used, and the preliminary results of the effectiveness of this adaptation on student learning. (A sample of course materials, worksheets, and hands-on activities will be presented during a poster session at this meeting.)",None
Session:,,Contributed,Title:,An Investigation of the Effectiveness of Different Recitation Teaching Methods*,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Panorama East,Date:,"Wednesday, Aug. 10",<b> Time: </b>,3:45PM,<b> Author: </b>,"Robert Endorf, Univ. of Cincinnati",<b> Co-Author(s): </b>,Kathleen M Koenig,"We will present preliminary results of an investigation which compares student performance for four different recitation class teaching methods. This investigation is part of a larger project that involves adapting and implementing the ""Tutorials in Introductory Physics 1"" in the recitation classes of our introductory calculus-based physics courses. As part of this study, students attended a special extra credit recitation class which was not a part of the regular course. This special recitation covered the tutorial ""Changes in Energy and Momentum."" The topic was taught using four different teaching techniques which differed in the level of inquiry and amount of active engagement by the students and instructors. A total of 273 students participated and each was assigned to one of eight sessions, with each method used in two separate sessions. Student performance was evaluated through pre-tests and post-tests given at the sessions as well as a post-test on the final exam.","* Supported by NSF grant #DUE-0126919 1. L.C. McDermott, P.S. Shaffer and the Physics Education Group at the University of Washington, Tutorials in Introductory Physics, First Ed. (Prentice Hall, 2002)."
Session:,,Poster,Title:,Rolling Spherical Rare Earth Magnets on Conductors and Non-Conductors,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Ballroom Corridor,Date:,"Monday, Aug. 8",<b> Time: </b>,10:30AM,<b> Author: </b>,"Alois Adams, Univ. of Arkansas, Little Rock",<b> Co-Author(s): </b>,None,"Spherical rare earth magnets can be modeled quite accurately by a pure magnetic dipole. Measurements of the magnetic field near a 3/4-inch magnet and interactions between two such magnets are consistent with predictions based on the pure dipole model, with a magnetic dipole of approximately 3.5 Am2. Their spherical shape, combined with their relatively large magnetic fields (order of 10,000 Gauss at their surface), opens up new possibilities in pedagogy, research in dipole-dipole interactions, and research in physics education. Rolling rare earth spherical magnets show noticeable effects due to interactions with the earth's magnetic field. In this presentation several rolling experiments will be described and analyzed: a magnet rolling on a flat non-conductor, a magnet rolling on a flat non-magnetic metallic surface, a magnet rolling on a non-conducting incline, and a magnet rolling on a non-magnetic metallic incline. Interactions with the earth's magnetic field and Lenz's Law will be used to analyze the motion.",None
Session:,,Contributed,Title:,Student Learning in Physics for Elementary Teachers (PET) Curriculum,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Theatre,Date:,"Tuesday, Aug. 9",<b> Time: </b>,3:00PM,<b> Author: </b>,"Paul W Zitzewitz, Univ. of Michigan, Dearborn",<b> Co-Author(s): </b>,John F Devlin,"We have taught the 2004/2005 version of PET to approximately 80 students, both graduate and undergraduate, at the Univ. of Michigan-Dearborn. Graduate students were mostly in-service K-8 teachers, undergraduates were elementary education students taking it as the required inquiry-learning physical science course. The full curriculum was not taught due to lack of classroom time; the graduate course met for 42 hours, the undergraduate course for 56. All students are accustomed to inquiry learning as they take six such courses in the sciences. The PET diagnostic exam that covered topics both included in the shortened course and not included was given as a pre-/post-test. For the graduate offering the average of the Hake gains of students on the questions addressed by the course (four out of nine) was 82%. Gains for the undergraduate offerings will be presented. Informal student response has been very positive; detailed analysis will be presented.",Course website: http://curie.umd.umich.edu/phys/natsci231/
Session:,,Contributed,Title:,Identifying Student Difficulties with Kinematics in the Introductory Physics Laboratory*,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,EMCB 103,Date:,"Wednesday, Aug. 10",<b> Time: </b>,4:00PM,<b> Author: </b>,"Brian Frank, Arizona State Univ.",<b> Co-Author(s): </b>,"Luanna G Ortiz, Stephen E Kanim, Michael E Loverude","We have been investigating student understanding of kinematics in physics laboratory courses at several universities. At Arizona State University the focus of the research has been student performance on problems involving two-dimensional motion after completing a lab on projectile motion. In this presentation we will describe prevalent reasoning difficulties that appear to influence student predictions about the motion of a projectile. Results from individual student interviews and written questions will be presented. This research will inform the development of laboratory materials for use in the algebra-based physics course. The preliminary edition of the lab curriculum is under development, and will ultimately include fifteen labs on mechanics, including some that are a direct outgrowth of",*Funded in part by grants from the National Science Foundation.
Session:,,Poster,Title:,Effectiveness of Student Magnetism Kits,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Ballroom Corridor,Date:,"Monday, Aug. 8",<b> Time: </b>,10:30AM,<b> Author: </b>,"Patricia Allen, Appalachian State Univ.",<b> Co-Author(s): </b>,None,"Twenty-four student magnetism, low-cost ($25/kit) kits were developed last summer for use in the algebra-based introductory course where Modeling instruction is being implemented. (The kits were first show-cased during the Winter '05 meeting.) The kits were finally put through their paces with a group of 72 students. Results of the activities associated with the kits, as well as the recently developed Magnetism unit, will be presented. Pre-test and post-test results on a self-generated magnetism diagnostic will be discussed. One of the kits and sample course materials can be examined during the scheduled time for presenters.",None
Session:,,Contributed,Title:,Developing an Inquiry-Based Physical Science Course for Pre-Service Elementary Teachers*,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Theatre,Date:,"Wednesday, Aug. 10",<b> Time: </b>,3:30PM,<b> Author: </b>,"Zdeslav Hrepic, Fort Hays State Univ.",<b> Co-Author(s): </b>,"Paul Adams, Jason Zeller, Nancy Talbott, Germaine Taggart","Pre-service elementary teachers should experience science through inquiry in order to be effective in teaching science. In addition, inquiry as a mode of teaching is mandated by Kansas and National Science Education Standards. As a result of the No Child Left Behind Act, teachers also need to be prepared to include basic skills in reading and mathematics in all instruction. To address these issues Fort Hays State University (FHSU) is adapting and extending the NSF-developed teacher enhancement materials Operation Primary Physical Science (OPPS) for use in a physical science course for preservice elementary teachers. We will present main features of OPPS, demonstrate its effectiveness as shown through workshops with in-service teachers and discuss results that we have collected with students enrolled in the adapted course since the beginning of the Fall 2004 semester.","*Supported in part by NSF grants DUE-0311042 and DUE-0088818 1. Lanee Young, Fort Hays State University, is also an author of this paper."
Session:,,Contributed,Title:,Dialogues Concerning Two Interpretations of Inquiry,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,EMCB 103,Date:,"Tuesday, Aug. 9",<b> Time: </b>,2:30PM,<b> Author: </b>,"Paul Hutchison, Univ. of Maryland",<b> Co-Author(s): </b>,"Simone Kulin, David Hammer","We present a videotaped moment from an inquiry-based college physics course. In this moment several students suggested to the instructor that he should replace ""weight"" with ""mass"" in a density formula he wrote on the board. In responding to the students the instructor claimed making a distinction between mass and weight was not relevant to what the class was engaged in trying to understand. The authors have different ideas about whether the response was an appropriate one. In subsequent discussions it became apparent we were making different assumptions about what was important in that instructional moment. This difference gets at important issues associated with inquiry teaching and learning. What is at the core of what we are, or should be, teaching students? Is inquiry a pedagogical approach or an agenda? We present both sides of the dialogue in an effort to raise questions we feel physics educators should consider.",None
Session:,,Contributed,Title:,TIR or ReTIRe?,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Theatre,Date:,"Tuesday, Aug. 9",<b> Time: </b>,1:45PM,<b> Author: </b>,"Michael D Wolter, Muncie Central H.S.",<b> Co-Author(s): </b>,None,The Physics Teacher Education Coalition has implemented a national model for improving the instruction of pre-service physics and science teachers and for improving the retention of in-service teachers. The key component of this project is a Teacher in Residence (TIR) that leaves their classroom for one year to become part of a university community dedicated to teacher education. What happens to the TIR as they leave and then return to their classroom one year later? A personal overview will be provided.,None
Session:,,Poster,Title:,New-Information Problem,Meeting:,"2005 AAPT Summer Meeting: Salt Lake City, UT",Location:,Ballroom Corridor,Date:,"Tuesday, Aug. 9",<b> Time: </b>,10:00AM,<b> Author: </b>,"Pengfei Li, Ohio State Univ.",<b> Co-Author(s): </b>,"Lei Bao, Neville W Reay, Jing Wang","An important skill in problem solving is the ability to synthesize the available information for a solution of the problem. The training of such skills often involves giving students problems and information that they haven't encountered in their previous learning experiences. To this end, we designed a new type of problems, the New-Information problems, which has many features similar to the well known context-rich problems. In addition to rich contexts, the New-Information problems also provide new knowledge pieces that the students have never seen before. Students need to combine their previous knowledge and the new knowledge in order to solve a problem. In this poster, we will discuss the research and implementation of this type of problems in physics courses.",None
