Session:,Best Practices in Educational Technology II,Contributed,Title:,Instructors Take Note: Course Structure Impacts Student Use of Etexts,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,4:20PM,<b> Author: </b>,"Daniel T. Seaton, MIT",<b> Co-Author(s): </b>,"Yoav Bergner, Saif Rayyan, Gerd Kortemeyer, David E Pritchard","The overall amount, and the manner, in which students use e-texts depends strongly on course structure, but weakly on class size or on whether the online environment is blended, distance learning, or open. Analyzing tracking logs from the LON-CAPA and edX platforms, we determine the use of etexts in more than 16 introductory physics courses at Michigan State University and MIT, plus four non-physics courses from MITx. A two -parameter model of usage distributions reveals that traditional course structure (few exams, other learning resources besides the e-text) generally correlates with the average student viewing less that 20% of the text, whereas reformed structure (frequent exams, embedded assessment in the assigned e-text) correlates with students viewing over 70%. Our data-mining techniques also analyze the temporal pattern of e-text use, distinguishing weekly reading from review immediately before (or during open book) exams.",None
Session:,Post-Deadline Papers,Contributed,Title:,Team-based Assessment in a Flipped Introductory Physics Class,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,3:50PM,<b> Author: </b>,"Junehee Yoo, Seoul National University",<b> Co-Author(s): </b>,"Eric Mazur, Carolann Koleci, Brian Lukoff","In a flipped introductory physics class, teamwork is regarded as a core competency and even reflected to assessment method. Reading Assurance Assessments, the high stakes component of the course are performed by team based rather than individually isolated. Three research questions; is the team-based assessment methods fair, especially for the high achievers, can team-based assessments measure teamwork as it intended and how can improve a teamwork are approached by analyzing 34 students' individual and team scores longitudinally during one semester. As a result, team-based assessments seemed to measure teamwork as it intended and to be fair when we accept that teamwork is important as well as conceptual mastery, even though the portions are not the same. Team composition for effective teamwork will be discussed.",None
Session:,The AIP Career Pathways Project,Invited,Title:,Physics Career Pathways Illustrated in the Liberal Arts,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,1:30PM,<b> Author: </b>,"Timothy N. Good, Gettysburg College",<b> Co-Author(s): </b>,None,"A recent analysis of data collected by the AIP SRC reveals that Gettysburg College has both a strong record of granting physics bachelor's degrees compared to other liberal arts institutions and is among the national leaders in terms of the percent of their recent physics bachelor's recipients who entered the STEM workforce within one year of earning the bachelor's degree. The college collaborated with the AIP Career Pathways team in a study to learn, and then disseminate, effective practices. Herein we report our findings; the significant factors are curriculum, climate, and community. We will describe a flexible curriculum rich in one-to-one instruction and advising, an energetic physics faculty devoted to ""hands-on"" laboratory instruction across the major, the availability of independent research opportunities, and a departmental climate that nurtures community, fostering a strong, positive relationship among physics majors at all levels and with alumni participating in a vibrant colloquium series.",None
Session:,"If They Make it, They Will Learn",Contributed,Title:,Paper Straw Pan Pipes and Oboes and their Standing Waves,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,8:00AM,<b> Author: </b>,"Daniel MacIsaac, Buffalo State College",<b> Co-Author(s): </b>,None,Make beautiful music in your class with these simple to make instruments. We will make both straw pan pipes and paper straw oboes. We will look at the physics of sound illustrated by these cheap and easy instruments. This activity has been done with Grade 3 students to in-service teachers.,None
Session:,"If They Make it, They Will Learn",Contributed,Title:,Lever It Up,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,8:00AM,<b> Author: </b>,"Kathleen Falconer, Buffalo State College",<b> Co-Author(s): </b>,None,"Last year at the 2012 OATP Conference, I went to a session with Marilyn Orszulik entitled Creativity and Hands-On Learning in Elementary Science, Design and Technology Programs. It was a wonderful session and using very simple hand tools I made a lever. Then my students made levers. We all had a wonderful time and I was surprised how empowering making a simple machine, like the lever, was for my students. So we are going to make levers. Also we will look at how this activity ties into the NGSS framework. Come join us and have a good time.",None
Session:,Implementations of Modeling Instruction for Different Audiences,Contributed,Title:,"Whole Class ""Board"" Meetings in Modeling-based Introductory University Physics",Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,5:20PM,<b> Author: </b>,"Brant Hinrichs, Drury University",<b> Co-Author(s): </b>,None,"This talk describes whole-class whiteboard meetings and gives examples of how they are used in a calculus-based introductory physics course taught using modeling instruction. Students in one section of the course are divided into six groups of four to five students each. Each group creates a solution to the same problem on a small whiteboard. The groups then form a large circle in the center of the classroom with their whiteboards on the ground, resting against their knees, facing out to the rest of the group. The instructor is outside the circle and interjects only rarely, if at all. The goal of the discussion is to come to a consensus on the ""best"" answer to the given problem. Examples are given of some of the amazing conversations students can have in such a format. Students are learning the epistemology of science by actively engaging in it every class.",None
Session:,Physics Education Research,Poster,Title:,Making Sense of Friction as an Interaction Using System Schema,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,8:30PM,<b> Author: </b>,"Brant Hinrichs, Drury University",<b> Co-Author(s): </b>,None,"After learning Newton's second law, students in a university modeling-based introductory physics class are asked to imagine a box sliding across a floor and slowing to a stop. Although they've had extensive experience with friction in the context of energy, this is their first exposure to friction within the context of forces. They are asked to make different representations for this scenario, including a system schema, and force diagram. During their small-group work, students quickly run into a difficulty: there are only two interactions with the box (contact, gravitational), so there should only be two forces, yet the box is slowing, which means it must have unbalanced forces in the direction of acceleration. In this poster, I present evidence from the student-led whole class discussion showing how the class uses the System Schema to help reason about this problem in a productive manner and come to a useful consensus.",None
Session:,Post-Deadlne Poster,Poster,Title:,Energizing Physics: Results from a 2-year Pilot Project,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,8:30AM,<b> Author: </b>,Stephen Scannell,<b> Co-Author(s): </b>,None,"Energizing Physics is an introductory physics course for the high school level designed to incorporate several approaches shown to improve student understanding of physics. These include a modeling approach to develop conceptual and quantitative understanding, a focus on depth vs. breadth, the use of learning targets and formative assessment strategies, and project-based learning, including hands-on projects that utilize the engineering design process, and smaller research projects that develop students' understanding of today's energy issues. Preliminary results and thoughts from a two-year pilot project (concluding in August 2013) will be shared.",None
Session:,Physics Education Research II,Poster,Title:,Examining Identity Development with Cultural Historical Activity Theory,Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,8:30AM,<b> Author: </b>,"Sissi L. Li, California State University Fullerton",<b> Co-Author(s): </b>,Michael E. Loverude,"Becoming a physics major involves learning to be part of physics communities. In this process, students socially interact with these communities, grapple with changing expectations over time as students become more physicist-like, and make use of tools in ways that are unique to the field. A theoretical framework is needed to incorporate elements beyond the social ones. Cultural Historical Activity Theory (CHAT) examines human actions through activity systems characterized by a motivation for action; components within the system include social, structural, and temporal artifacts that are often in conflict and drive an individual or group to action. For example, students joining a research group experience conflict between what counted as good lab work in classes and new expectations in the research lab. Using CHAT, we examine the physics major identity development through the interactions within an activity system and between activity systems that shape the trajectory of becoming a physicist.",None
Session:,Post-Deadlne Poster,Poster,Title:,"Simulated Sinusitis, Phantoms and Near Infrared Radiation (NIR) Transillumination Imaging",Meeting:,"2013 Summer Meeting: Portland, Oregon",Location:,N/A,Date:,,<b> Time: </b>,9:15AM,<b> Author: </b>,"Kevin C. Yang, Mission Viejo High School",<b> Co-Author(s): </b>,None,"Sinusitis affects 31 million people nationwide annually. A potential imaging tool for the diagnosis of maxillary sinusitis is NIR transillumination through the hard palate of the mouth. To study optimal techniques for detecting maxillary sinusitis with NIR, phantoms simulating the sinuses and hard palate of a human skull were constructed and tested with NIR systems. MatLab analysis of NIR images of the phantom indicated that the light intensity emitted from completely fluid-filled cavities was up to 50% less than that emitted from healthy, air-filled cavities. NIR transillumination was also able to detect partially fluid-filled cavities that mimic the disease condition of a large number of patients. NIR light intensity demonstrated a significant (p<0.05) negative correlation with volume of fluid inside the cavities. Hence, NIR transillumination can distinguish between aerated (healthy) and fluid-filled (diseased) cavities in this phantom, indicating that the phantoms provide a static model that closely mimics maxillary sinusitis.",None
