Session:,,Contributed,Title:,The Old 'New Movement' Among Physics Teachers,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Imperial A,Date:,"Wednesday, Aug.01",<b> Time: </b>,11:00AM - 11:10AM,<b> Author: </b>,"Amanda M Gunning, Teachers College, Columbia University",<b> Co-Author(s): </b>,Keith Sheppard,"One hundred years ago, it was a very exciting time in the world of physics - not only were advances being made in the field, but physics education seemed to be at a turning point. From its beginnings as ""Natural Philosophy"" to its evolution into the technical course of ""Physics,"" the efforts to reform the course at the turn of the twentieth century are strikingly similar to current sentiments. Despite the fervor of discourse taking place through scholarly journals, the system in place in the early 1900's seems to have become frozen in time. Our current physics curriculum looks very much the same as what was taught 100 years ago. How did today's traditional physics course come about and how did it stop evolving? How can the past inform today's reform efforts?",None
Session:,,Invited,Title:,A Short History of the Foundation of the North Carolina Section,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Imperial C,Date:,"Monday, Jul.30",<b> Time: </b>,9:00AM - 9:30AM,<b> Author: </b>,"John L Hubisz, North Carolina State Univerity",<b> Co-Author(s): </b>,None,At first there were a few sparks. Then some matches were introduced. The fire started and a volunteer fire department was formed to control and manage the spread of the flames.,None
Session:,Solar Viewing,Other,Title:,Solar Viewing,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Koury Parking Lot,Date:,"Monday, Jul.30",<b> Time: </b>,11:00AM - 9:00PM,<b> Author: </b>,"Joe Heafner,",<b> Co-Author(s): </b>,None,"In conjunction with the American Association of Physics Teachers summer meeting in Greeensboro, there will be a daytime solar gaze featuring both white light and hydrogen alpha telescopes. Teachers are especially encouraged to come see how to equip telescopes for safe solar viewing and to ask questions about telescopes in general. Weather permitting, there will also be early evening viewing. Telescopes will be attended by members of North Carolina amateur astronomy clubs who are both knowledgeable about astronomy and willing to demonstrate basic telescope setup. If you are a science teacher and want to bring astronomy into your classroom, there is a golden opportunity to get advice from experts. The gaze will be held from 11am to about 9pm at Koury Convention Center.","Per Lila, scheduled for Monday, July 30 for HS Day"
Session:,,Poster,Title:,The Wonderful World of Physics!,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Pre-Function,Date:,"Wednesday, Aug.01",<b> Time: </b>,8:00AM - 9:00AM,<b> Author: </b>,"Wayne A Fisher, Myers Park HS",<b> Co-Author(s): </b>,None,"This is a project I assign the first week of class to jump start student thinking about how physics can be related to almost any topic that grabs a student's attention. I have been doing this project for ten years and will bring my BOB's -- the Best of the Best -- of the over 1200 projects completed since 1997. Some of my favorites are ""The Physics of Silly Putty,"" ""The Physics of the Brain,"" and ""The Physics of Friendship.""",None
Session:,,Invited,Title:,The Case of the Conservation of Energy and Momentum,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Colony B-C,Date:,"Tuesday, Jul.31",<b> Time: </b>,4:00PM - 4:30PM,<b> Author: </b>,"Patricia M Heller, University of Minnesota",<b> Co-Author(s): </b>,None,"Good teaching can be described as an art. But like any creative, complex skill, some good teaching practices can also be learned through mentoring and guided practice. We can also use research to inform and improve our teaching. In the past 25 years, significant research has been conducted about students? nave or alternative conceptions in physics, and why some students? alternative ideas are very resistant to change. Teachers also have alternative conceptions about learning and teaching physics that are resistant to change. This talk will explore this resistance to change through the examination of the teaching of the conservation of energy and momentum.",None
Session:,,Poster,Title:,Who Invented the Graph?,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Pre-Function,Date:,"Monday, Jul.30",<b> Time: </b>,8:00AM - 9:00AM,<b> Author: </b>,"Alan Hirshfeld, UMass Dartmouth",<b> Co-Author(s): </b>,None,"The graphical portrayal of observational or experimental data is commonplace today, as is the teaching of graphical methods in virtually every mathematics and physical science curriculum. Yet a review of the scientific literature reveals an almost complete absence of graphs until around the mid-1800s, even though the foundations of analytic geometry had been laid down by Descartes more than two centuries earlier. Who ""invented"" the graphing of physical variables? What ultimately led to its acceptance as an analytical tool in scientific investigation? The ur-graph may be a crude, 10th-century plot of planetary positions with time. Among the early graphing pioneers were well-known scientists such as Edmund Halley, James Watt, William Herschel, John Herschel, and Benjamin Thompson. But others - J. H. Lambert, William Playfair, J. D. Forbes, and the aptly named Robert Plot - labored in relative obscurity, their contributions coming to light only decades or even centuries later.",None
Session:,,Poster,Title:,Curriculum Development at Davidson College,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Imperial C,Date:,"Monday, Jul.30",<b> Time: </b>,9:30AM - 11:00AM,<b> Author: </b>,"Wolfgang Christian, Davidson College",<b> Co-Author(s): </b>,Mario Belloni,"Over the past dozen years Davidson College has produced some of the most widely used interactive curricular materials for the teaching of introductory and advanced physics courses. These materials are based on Java applets called Physlets and the new Open Source Physics programs and applications. While this work involves collaborators across the country and across the globe, the development originated in North Carolina. In this poster we will outline the pedagogical and technical features of Physlet and OSP programs and briefly describe our current efforts create and distribute material using the national digital libraries.",None
Session:,,Invited,Title:,"""Professional Concerns in the Teaching for Astronomy"" Crackerbarrel",Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Oak B-C,Date:,"Tuesday, Jul.31",<b> Time: </b>,1:00PM - 1:30PM,<b> Author: </b>,Rebecca Lindell,<b> Co-Author(s): </b>,None,"In this cracker barrel, we will discuss professional concerns of astronomy instructors. Concerns raised at the 2006 Summer AAPT meeting included: Being the only astronomy instructor in high schools, starting your own observatory and how to use computerized instruction. These concerns as well as other raised by participants will be discussed.",None
Session:,,Invited,Title:,Effective Labs and the AP Environment,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Imperial F,Date:,"Monday, Jul.30",<b> Time: </b>,3:30PM - 4:00PM,<b> Author: </b>,"Gregory Puskar, West Virginia University",<b> Co-Author(s): </b>,None,"Laboratory experiences are a major component of the AP Program and are mandated by most state standards. However, pressures from various sources are exerted on teachers that tend to lessen or eliminate lab work. In the case of the AP Physics program, if lab activities are reduced or eliminated, a student conceivably may not have any lab experience until their upper level college courses, if at all. Activities will be described that serve to reduce these pressures while still providing a stimulating lab experience.",None
Session:,,Contributed,Title:,Impact of Undergraduate Teaching Assistants in SCALE-UP physics,Meeting:,"2007 AAPT Summer Meeting: Greensboro, NC",Location:,Cedar,Date:,"Monday, Jul.30",<b> Time: </b>,10:00PM - 10:10PM,<b> Author: </b>,"Jonathan C Hall, Penn State Erie, The Behrend College",<b> Co-Author(s): </b>,"Meredith G Hyldahl, Charles A Barr, Arthur G Russakoff","In an active learning environment such a SCALE-UP, undergraduate teaching assistants are an integral and vital part of the teaching and learning that goes on both in and outside of the classroom. After a semester as teaching assistants in a SCALE-UP physics course at Penn State Erie, physics majors will report on the variety of ways that they became involved in the learning process, and their observations of the process and the learning outcomes.",None
