Session:,Astronomy,Poster,Title:,Beauty and Power of Mathematics -- Changing Attitudes in Astronomy Courses,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC-Solarium,Date:,,<b> Time: </b>,8:00AM - 9:00AM,<b> Author: </b>,"Jennifer Kirkey, Douglas College",<b> Co-Author(s): </b>,Sarah Stephens,"How do students' attitudes toward the beauty, power, usefulness and fun of mathematics in the course and the world around them change throughout a semester? Two instructors from a community college in British Columbia set out on a cross-disciplinary quest to answer this question in a first-year astronomy course for liberal arts students and an introduction to computers classroom. Using a five-point attitude scale, we gathered students' responses to statements such as: ""math is beautiful,"" ""math is powerful,"" ""math is useful in this course,"" ""math is useful in the rest of the life outside of the college"" and ""math is fun."" Students were asked what was the most important classroom experience that fostered a positive attitude toward the beauty, power and usefulness of mathematics (if any). The results of the research, including methods to enhance our classroom activities to increase a positive change toward mathematics will be shared.",None
Session:,Advanced Labs,Poster,Title:,Determining Saturation Intensities in Rubidium,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC-Solarium,Date:,,<b> Time: </b>,8:00AM - 9:00AM,<b> Author: </b>,"Robert DeSerio, University of Florida",<b> Co-Author(s): </b>,None,"Saturated absorption spectroscopy in Rb is a common advanced lab experiment that is rich in opportunities to explore atomic physics and atom-field interactions. A simple measurement of single-beam absorption vs. laser intensity will be described that provides a determination of the saturation intensity--an atomic property describing the laser field strength where stimulated emission occurs at the same rate as spontaneous emission. At low laser intensities, the ground and excited state populations are relatively unperturbed and the fractional absorption remains constant. As the intensity increases past the saturation intensity, the populations start to equilibrate and the absorption fraction drops. The laser intensity is determined from power and area measurements and varied using neutral density filters. The laser frequency is scanned to obtain single-beam absorption spectra and determine the absorption fraction on resonance. Graphs of the absorption fraction vs. laser intensity are used to determine the saturation intensity.",None
Session:,,Contributed,Title:,Writing as a Tool for Coaching Students to Think Scientifically,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC-E2-001,Date:,,<b> Time: </b>,2:45PM - 2:55PM,<b> Author: </b>,"Mary V. Frohne, Holy Cross College",<b> Co-Author(s): </b>,None,"In teaching introductory physics labs, an often-desired outcome is the enhancement of students' skills in scientific reasoning. Lab reports are the primary means of communication by which the students verbalize their reasoning to their instructors and more importantly, to themselves. By providing a flexible ""lab summary"" reporting format in lieu of a formal report, and by coaching students to focus on their phenomena rather than themselves, the quality of students' scientific reasoning skills can be greatly improved in a short amount of time. The coaching involves releasing students from stereotypical thinking habits as well as encouraging scientifically competent thinking. These methods have been used successfully in liberal arts physics, algebra-based physics, and calculus-based physics courses.","Sponsored in part by the University of Notre Dame, Notre Dame, IN"
Session:,,Poster,Title:,Lighting Research Using a 20MHz Yagi Antenna,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,Aurora,Date:,,<b> Time: </b>,5:30PM - 7:30PM,<b> Author: </b>,"Erick P. Agrimson, The College of St. Catherine",<b> Co-Author(s): </b>,"Alyona V Haritonova, Onna O Roosmalen, Terry F Flower",Lightning strikes are composed of stroke events of rather short duration but with voltages of the order of 10^8 Volts and currents as much as 10^4 Amperes. We use a 20 MHz radio antenna to estimate power developed in a typical thunderstorm and the temporal distribution of its intensity. Integration of the energies involved suggests the enormous potential should these electrical energies be harvested for large scale electricity production.,None
Session:,,Contributed,Title:,Addressing Thermodynamics Students' Partial Differentiation Difficulties Through Research-Based Curriculum Development,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC E1-013,Date:,,<b> Time: </b>,9:10AM - 9:20AM,<b> Author: </b>,"Brandon R. Bucy, The University of Maine",<b> Co-Author(s): </b>,"John R Thompson, Donald B Mountcastle","We have reported previously that students demonstrate an inability to correctly equate the mixed second-order partial derivatives of the state function of volume (nonzero quantities in general), arguing instead that these derivatives must identically equal zero.[1] We have developed and implemented a guided-inquiry instructional sequence for upper-level undergraduate thermodynamics students to address this and related student difficulties with partial derivatives encountered in our research. The sequence uses a graphical interpretation of partial derivatives in the context of an ideal gas P-V-T surface to bridge the abstract mathematical concepts with concrete physical properties. We present pre- and post-instruction data from two semesters of a classical thermodynamics course in which the sequence was administered, and compare those outcomes to results obtained after lecture-based instruction only. Preliminary results imply that the sequence not only addressed the difficulty discussed above but also positively impacted student performance on related topics later in the course.","Research supported in part by NSF Grants #PHY-0406764 and #REC-0633951, and by the Maine Academic Prominence Initiative 1. B.R. Bucy et al., 2006 Phys. Educ. Res. Proc. 883, 157 (2007)."
Session:,PER: Student Understanding of Specific Topics (Poster),Poster,Title:,Identifying and Addressing Partial Differentiation Difficulties in Calculus and Thermodynamics,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC Solarium,Date:,,<b> Time: </b>,5:00PM - 6:00PM,<b> Author: </b>,"Brandon R. Bucy, The University of Maine",<b> Co-Author(s): </b>,"John R Thompson, Donald B Mountcastle","We have reported previously that upper-level thermodynamics students demonstrate an inability to correctly equate the mixed second-order partial derivatives of the state function of volume (nonzero quantities in general), arguing instead that these derivatives must identically equal zero.[1] Here we document the presence of this difficulty among students enrolled in a multivariable calculus course. Data were gathered via diagnostic questions structurally identical to those administered in the thermodynamics course, yet devoid of physical context. We additionally present a guided-inquiry tutorial sequence that was specifically developed to address this and related student difficulties with partial derivatives encountered in our research. The sequence uses a graphical interpretation of partial derivatives in the context of an ideal gas P-V-T surface to bridge the abstract mathematical concepts with concrete physical properties. Preliminary results indicate that the sequence effectively addresses the above difficulty, and also positively impacts student performance on related topics.","Research supported in part by NSF Grants #PHY-0406764 and #REC-0633951, and by the Maine Academic Prominence Initiative 1. B.R. Bucy et al., 2006 Phys. Educ. Res. Proc. 883, 157 (2007)."
Session:,,Contributed,Title:,Novice Ontologies in Physics,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC-E1-013,Date:,,<b> Time: </b>,1:55PM - 2:05PM,<b> Author: </b>,Ayush Gupta,<b> Co-Author(s): </b>,"David Hammer, Edward F Redish","One route to understanding student difficulties in many science topics is to attend to nave ""ontologies"" of science concepts--for example whether students think of heat as a material or as a process (Chi, 1994). We have shown that expert reasoning often straddles ontological categories; for example, experts think about heat in ways that involve both matter-like and process-like attributions (Gupta, Hammer, & Redish, in review). We have also argued that novice reasoning is not constrained to ontological categories (Gupta, Hammer, & Redish, in review). In this talk, we present our analysis of student discussions in the physics classroom to characterize the form of ontological knowledge evident in their reasoning and find connections between our everyday ontological nowledge and ontologies in physics.","Chi, M. T. H., Slotta, J. D. & de Leeuw, N. (1994). Learning and Instruction, 4, 27-43. Gupta, A., Hammer, D., & Redish, E. F. (in review). Journal of the Learning Sciences. Available online at http://arxiv.org/abs/0802.4278 Supported by NSF grants REC 0440113, DUE 05-24987 and DUE 0524595"
Session:,,Contributed,Title:,The Ubiquitous Presenter Program with Clickers,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,NRE-2-001,Date:,,<b> Time: </b>,9:20AM - 9:30AM,<b> Author: </b>,"William F. Junkin, Eckerd College",<b> Co-Author(s): </b>,Brian Smith,"The Ubiquitous Presenter program is a great program for promoting classroom interaction as material is presented through whiteboard and/or PowerPoint slides with ink annotations and drawings by instructor and student (http://up.ucsd.edu/). One of its strengths is student involvement by requiring student responses. If students have computers, a polling feature is already built into the Ubiquitous Presenter program. As this presentation will demonstrate, we have created a module that can be added to this open source program so that students can respond using clickers in classrooms with no or only a few student computers.",None
Session:,Bringing Science to the Public,Poster,Title:,Everyday Physics: White-Light Diffraction Patterns from Windows and Railings,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC-Solarium,Date:,,<b> Time: </b>,8:00AM - 9:00AM,<b> Author: </b>,"Todd G. Ruskell, Colorado School of Mines",<b> Co-Author(s): </b>,"Patrick B Kohl, Vince Kuo","The south-facing windows in the building that houses our Physics Learning Studio for introductory physics have a masking treatment designed to reduce glare. What was not appreciated until recently is that the resulting slit sources provide an excellent opportunity to view white-light diffraction effects. The Sun's elevation alters the effective size of the white-light sources, changing the visibility of fringes due to edge diffraction from a railing and other obstacles. In this poster we explore the variety of effects visible to the naked eye and compare the results to theoretical expectations. We also discuss the applicability of this natural and predictable hallway demonstration to teaching wave phenomena to physics students at all levels.",None
Session:,,Contributed,Title:,Student Difficulties Concerning Derivative and Slope Concepts in Multivariable Calculus*,Meeting:,"2008 Summer Meeting: Edmonton, Alberta",Location:,ETLC-E1-013,Date:,,<b> Time: </b>,9:00AM - 9:10AM,<b> Author: </b>,"Warren M. Christensen, University of Maine",<b> Co-Author(s): </b>,"John R Thompson, Donald B Mountcastle","Previous work on students' understanding of graphical interpretation of slope, derivative, and area under curves in various physics contexts has shown substantial difficulties, most notably in kinematics.[1] Concurrently, several reports point toward students' lack of algebraic acumen as a likely cause for their low achievement in a physics classroom.[2] As part of ongoing research on mathematical challenges that may underlie documented physics difficulties, we developed and administered a brief survey on single- and multivariable calculus concepts to students near the end of a Calculus III course. Some of the questions are based on our earlier work in thermal physics that are essentially stripped of their physics content. Initial findings show that one in five students encounter some type of difficulty when asked to rank the slopes at five different points along a single path. Students asked to rank the derivatives of three different functions at a single point face more difficulties.","[1] Beichner, Am. J. Phys. 62 750 (1994). [2] Meltzer, Am. J. Phys. 70 1259 (2002). *Supported in part by NSF Grants PHY-0406764, REC-0633951, and the Maine Academic Prominence Initiative"
