4669,Contributed Poster Presentation,A Comparison of Two Instructional Models Using Contrasting Cases,"Inventing a general explanation for contrasting cases is an effective learning strategy (Schwartz, Chase, Oppezzo, & Chin, 2011).  Inventing activities implicitly ask students to compare and contrast cases.  Is compare and contrast alone enough?  Over 4 class periods, 6th grade students learned about horizontal projectile motion through Compare and Contrast (CC) instruction or Invention (INV) activities using identical contrasting cases generated by a Physics Education Technology (PhET) computer simulation. Results showed that the INV treatment led to superior learning outcomes over the CC condition.  Worksheet analyses revealed that CC students mainly focused on single factor features, whereas the inventing directive led students to focus on finding an overall explanation. As a result, the INV students were more likely to give deeper structure accounts of the features that could explain all the contrasting cases.  Comparing and contrasting is necessary for induction but not sufficient for finding deep structure in physics.",Nicole R. Hallinen,http://www.per-central.org/perc/2012/detail.cfm?ID=4669,Stanford University,"Min Chi, Ilsa Dohmen, Jonathan T. Shemwell, Doris B. Chin, Catherine C. Chase, Daniel L. Schwartz (Stanford University)",2012
4581,Contributed Poster Presentation,A Cross-grade Comparison of Student Views about Learning Physics,"Students views about physics and learning of physics exert a great influence on the way they study this subject matter. Those who perceive physics as a coherent scientific enterprise consisting of interconnected knowledge resources are likely to approach physics differently than those who view it as a laundry list of disconnected bits-and-pieces of facts or formulas. Although many physics classes are intended to cultivate student scientific learning attitudes, prior research has shown that typical instruction often resulted in a lesser alignment of students views about physics with those of experts. Much work along this line has been carried out in the US, and only a few studies were aimed at international students. We report here a cross-grade study of Chinese students views about physics and learning of physics using the Colorado Learning Attitudes Survey about Science. Results that reveal the trend of change in student learning attitudes are reported.",Lin Ding,http://www.per-central.org/perc/2012/detail.cfm?ID=4581,"School of Teaching and Learning, The Ohio State University",,2012
4720,Contributed Poster Presentation,A Framework for Adopting Modeling in Upper-Division Lectures and Labs,"Modeling, the practice of developing, testing, and refining models of physical systems, is gaining support as a key scientific practice, and is included in the new Framework for K-12 Science Education released by the National Research Council. Modeling Instruction, RealTime Physics, Matter & Interactions, and other model-based curricula have introduced a modeling emphasis to many classrooms at the high school and introductory college level, but there has been little move to include modeling in the upper-division lecture or lab courses. In this poster we present a framework for adopting modeling into existing lab courses as part of general strategy for scientific inquiry. We also present a model of laboratory modeling that includes modeling the physical and measurement systems and their relationship. We elucidate the framework through the specific example of a polarization of light lab.",Heather Lewandowski,http://www.per-central.org/perc/2012/detail.cfm?ID=4720,University of Colorado,"Benjamin Zwickl, University of Colorado
Noah Finkelstein, University of Colorado",2012
4811,Contributed Poster Presentation,A Framework for Assessing Learning Assistants Reflective Writing Assignments,"At Florida International University we have implemented a learning assistant program (LAP) based on the Colorado Learning Assistant Model.[1] As a part of this program, students take a course on science and mathematics education theory and practice in which they are required to submit written reflections. The purpose of this study is to determine if students writing assignments provide evidence that they are reflecting on their teaching experiences and to characterize the different ways in which they reflect on those experiences. In our investigation we adapted a rubric from Hatton and Smith[2]. We show how this rubric helps us to categorize the depth of student reflections and provide them with constructive feedback.",Geraldine L. Cochran,http://www.per-central.org/perc/2012/detail.cfm?ID=4811,Florida International University,"David T. Brookes--Florida International University, Department of Physics
Eric Brewe--Florida International University, Department of Teaching & Learning and Department of Physics
Laird H. Kramer--Florida International University, Department of Physics",2012
4515,Contributed Poster Presentation,A Major- and Gender-Dependent Self-Confidence Decline in CLASS Data from MIT Introductory Physics,"It has been observed in the literature that student self-confidence about mathematical ability tends to be reduced by attending a selective secondary school.  This has been termed the Big-Fish-Little-Pond Effect"".  We have examined CLASS data from the mainstream introductory physics course at MIT and found evidence of an analogous decline in confidence about physics problem solving ability, even among students receiving an A or B in the course.  This decline is apparently correlated with a student's subsequent selection of major.  Students who eventually select a major closely related to physics do not (on average) exhibit a significant decline in self-confidence during the freshman course, regardless of gender.  Students whose major has no close relationship to physics do (on average) exhibit a significant decline in confidence regardless of gender.  Students whose major is intermediate display a gender-dependent evolution of confidence, with only female students (on average) exhibiting a significant decline.",Andrew Pawl,http://www.per-central.org/perc/2012/detail.cfm?ID=4515,University of Wisconsin-Platteville,"David E. Pritchard, Massachusetts Institute of Technology",2012
4673,Contributed Poster Presentation,A Qualitative Look at The Long Term Effects of  Early Enrollment in Physics,In the fall of 2008 and 2009 cohorts of incoming Freshman took U.C. Davis's radically reformed introductory Physics course for life science majors.  These cohorts preformed significantly better than their in class peers in many courses. Through interviews with members of the cohorts and their in class peers a fuller picture of their differential success and its causes is developed. Preliminary results indicate that a cohort effect played a significant roll in the success of students. For example study habits and achievement norms are common themes of the interviewees.,Robert B Lynch,http://www.per-central.org/perc/2012/detail.cfm?ID=4673,UC Davis,Wendell H. Potter UC Davis Physics Dept.,2012
4568,Contributed Poster Presentation,A Student-Led Whole-Class Discussion Reconciles Friction with the System Schema,"After learning Newtons 2nd Law, students in a university modeling-based introductory physics class are asked to imagine a box sliding across a floor and slowing to a stop. Although theyve had extensive experience with friction in the context of energy, this is their first exposure to friction within the context of forces.

They are asked to make different representations for this scenario, including a system schema, and force diagram.  During their small group work, students quickly run into a difficulty:  there are only two interactions with the box (contact, gravitational), so there should only be two forces, yet the box is slowing, which means it must have unbalanced forces in the direction of acceleration.

In this poster, I present evidence from the student-lead whole class discussion showing how the class uses the System Schema to help reason about this problem in a productive manner and come to a useful consensus.",Brant Hinrichs,http://www.per-central.org/perc/2012/detail.cfm?ID=4568,Drury University,,2012
4433,Contributed Poster Presentation,A conceptual physics class where students found meaning in calculations,"Prior to taking a translated version of Open Source Tutorials [1] (OSTs) as a stand-alone course, most students at Tokyo Gakugei University had experienced physics as memorizing laws and equations to use as computational tools.   We might expect students entering this reformed physics class, which emphasizes common sense and conceptual reasoning and rarely invokes equations, to produce students who see a disconnect between equation use and intuitive/conceptual reasoning.  Many students at Gakugei, however, somehow learned to reconcile quantitative problem solving with conceptual understanding even though OSTs do not emphasize this process.    Tadao, for example, came to see that although a common-sense solution to a problem is preferable for explaining to someone who doesnt know physics, solving the problem with a quantitative calculation (that connects to physical meaning) can bring clarity and concreteness to communication between experts.   How this reconciliation occurred remains an open question and a candidate for future research.

[1] Elby, A., Scherr, R. E., McCaskey, T. L., Hodges, R., Redish, E. F., Hammer, D. M., & Bing, T. (2007).  Open Source Tutorials in Physics Sense-making: Suite I. DVD retrieved from
http://www.spu.edu/depts/physics/tcp/tadevelopment.asp

This work is partially supported by NSF-IEECI grant # 0835880",Michael M. Hull,http://www.per-central.org/perc/2012/detail.cfm?ID=4433,University of Maryland College Park,"Andrew Elby
University of Maryland College Park",2012
4623,Contributed Poster Presentation,A study of postgraduate students in an astrophysics bridging year: Identifying Contradictions in a complex system,Postgraduate students who transfer from Historically Black Universities to the National Astrophysics and Space Science Programme (NASSP) that is run at the University of Cape Town often struggle academically.  While our previous studies on student epistemology went some way towards understanding student performance it became clear that broader socio-cultural and systemic issues were playing critical roles. Using Cultural Historical Activity Theory (CHAT) as a theoretical perspective we (a) characterized the broader context as an Activity System and (b) identified the four main levels of systemic contradictions as proposed by the theory. We present findings from studies involving various cohorts of students.  One of the components of the curriculum that presented particular difficulty was an intermediate level Electromagnetism course. We therefore analysed this as a subsystem identifying several systemic and historical tensions.,Victoria Nwosu,http://www.per-central.org/perc/2012/detail.cfm?ID=4623,"Department of Physics, University of Cape Town","Saalih Allie, Department of Physics, University of Cape Town, South Africa
Dedra Demaree, Department of Physics Oregon State University, USA
Andrew Deacon, Centre for Educational Technology, University of Cape Town, South Africa",2012
4896,Contributed Poster Presentation,Adaptation of Introductory Physics Computer Coaches: Applications and Design,"Computer modules designed  to improve problem solving skills for science and engineering students are currently in the process of being experimentally tested in a calculus-based physics course by the PER group at the University of Minnesota, Twin Cities (Q. Xu et al.).  Additional branches of the study include adapting the coaches to suit the needs of a) different institution types, and b) students of other intended majors, e.g. science education majors and life science majors. At the University of Central Arkansas, we are currently preparing a study to recruit high school teachers to test the modules in an interview format and determine the feasibility and pedagogical use for implementation in a senior high school physics class.  Additional considerations include computational design and life science applications for both college and high school levels of physics.",Andrew Mason,http://www.per-central.org/perc/2012/detail.cfm?ID=4896,"Department of Physics and Astronomy, University of Central Arkansas","Mishal Benson, University of Central Arkansas",2012
